fornecedor;metricaType;avgPrecisao;avgCobertura;avgF1Score;avgTempoMs
BSC;BODY_WITH_CONTEXT;0,68;0,68;0,68;87443
BSC;HEADER_WITH_CONTEXT;0,75;0,75;0,75;87443
BUSCHLE;BODY_WITH_CONTEXT;0,46;0,46;0,46;89052
BUSCHLE;HEADER_WITH_CONTEXT;0,64;0,64;0,64;89052
NOVAQUIMICA;BODY_WITH_CONTEXT;0,43;0,43;0,43;51020
NOVAQUIMICA;HEADER_WITH_CONTEXT;0,93;0,93;0,93;51020
ALPHAQUIMICA;BODY_WITH_CONTEXT;0,50;0,44;0,47;67849
ALPHAQUIMICA;HEADER_WITH_CONTEXT;0,58;0,58;0,58;67849
BSC;HEADER_WITHOUT_CONTEXT;0,83;0,83;0,83;120877
BSC;BODY_WITHOUT_CONTEXT;0,30;0,30;0,30;120877
BUSCHLE;HEADER_WITHOUT_CONTEXT;0,93;0,93;0,93;110154
BUSCHLE;BODY_WITHOUT_CONTEXT;0,43;0,43;0,43;110154
NOVAQUIMICA;HEADER_WITHOUT_CONTEXT;0,86;0,86;0,86;56944
NOVAQUIMICA;BODY_WITHOUT_CONTEXT;0,29;0,36;0,31;56944
ALPHAQUIMICA;HEADER_WITHOUT_CONTEXT;1,00;1,00;1,00;75923
ALPHAQUIMICA;BODY_WITHOUT_CONTEXT;0,72;0,72;0,72;75923
