fornecedor;metricaType;avgPrecisao;avgCobertura;avgF1Score;avgTempoMs
BSC;BODY_WITH_CONTEXT;0,67;0,59;0,62;60529
BSC;HEADER_WITH_CONTEXT;1,00;1,00;1,00;60529
BUSCHLE;BODY_WITH_CONTEXT;0,64;0,59;0,60;61806
BUSCHLE;HEADER_WITH_CONTEXT;0,93;0,93;0,93;61806
NOVAQUIMICA;BODY_WITH_CONTEXT;0,93;1,00;0,95;40199
NOVAQUIMICA;HEADER_WITH_CONTEXT;0,86;0,86;0,86;40199
ALPHAQUIMICA;BODY_WITH_CONTEXT;0,44;0,44;0,44;51127
ALPHAQUIMICA;HEADER_WITH_CONTEXT;1,00;1,00;1,00;51127
BSC;BODY_WITHOUT_CONTEXT;0,31;0,31;0,31;70988
BSC;HEADER_WITHOUT_CONTEXT;1,00;1,00;1,00;70988
BUSCHLE;BODY_WITHOUT_CONTEXT;0,50;0,50;0,50;75164
BUSCHLE;HEADER_WITHOUT_CONTEXT;0,93;0,93;0,93;75164
NOVAQUIMICA;BODY_WITHOUT_CONTEXT;0,43;0,43;0,43;45244
NOVAQUIMICA;HEADER_WITHOUT_CONTEXT;0,86;0,86;0,86;45244
ALPHAQUIMICA;BODY_WITHOUT_CONTEXT;0,72;0,72;0,72;52586
ALPHAQUIMICA;HEADER_WITHOUT_CONTEXT;1,00;1,00;1,00;52586
